Boys Enrolled,Complete Primary Schools,Girls Enrolled,Primary Schools with single classroom,Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,Boundary wall,Building condition satisfactory,Complete Primary Schools,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
1,0,0,0.378640777,0.67961165,0.0921,0.1757,0.3724,0.1423,1227,41,5.97826087,9.239130435,0,Diamir,2.717391304,24,36.56425367,0.0259,2.717391304,30.41666667,29.57368135,9.07,61.06666667,0.2176,0.861924686,206,0.138075314,33,0.037,675667,78,140,GB,25.2,7.5,5379,16.84782609,239,2013
0.6039,0.805970149,0.3961,0,0.194029851,0.1583,0.1511,0.2662,0.2158,6400,41,49.47368421,22.10526316,54,Ghanchi,32.10526316,24,75.99844887,0.0259,46.31578947,72.41666667,89.61046216,9.07,54.36666667,0.2086,0.482014388,67,0.517985612,72,0.037,88366,0,13,GB,87.6,42.10526316,5379,60.52631579,139,2013
0.8919,0.728813559,0.1081,0,0.271186441,0.4912,0.0439,0.307,0.1404,9635,41,29.83425414,38.67403315,43,Ghizer,49.72375691,24,48.02823364,0.0259,3.314917127,69.83333333,60.81293456,9.07,61.46666667,0.0175,0.51754386,59,0.48245614,55,0.037,120218,0,16,GB,0,31.71270718,5379,37.01657459,114,2013
0.6014,0.818181818,0.3986,0.012987013,0.168831169,0.5211,0.0845,0.169,0.2113,3800,41,50,17.1641791,63,Gilgit,52.98507463,24,76.96806356,0.0259,1.492537313,79.41666667,89.85558755,9.07,63.8,0.0141,0.542253521,77,0.457746479,65,0.037,243324,1,13,GB,74.8,29.40298508,5379,25.37313433,142,2013
0.687,0.926829268,0.313,0,0.073170732,0.5758,0.0404,0.2323,0.1212,15700,41,47.82608696,17.39130435,38,Hunza Nagar,64.13043478,24,78.48257621,0.0259,64.13043478,77.5,81.29697152,9.07,55.13333333,0.0303,0.414141414,41,0.585858586,58,0.037,0,0,3,GB,100,50,5379,56.52173913,99,2013
0.7934,0.713780919,0.2066,0.017667845,0.268551237,0.2212,0.1176,0.2188,0.1765,15000,41,13.02211302,13.02211302,202,Skardu,23.58722359,24,64.77776071,0.0259,23.0958231,74.41666667,70.66104285,9.07,62.03333333,0.2659,0.665882353,283,0.334117647,142,0.037,214848,5,76,GB,52,19.60687961,5379,25.30712531,425,2013
0.556,0.994764398,0.444,0.005235602,0,0.8849,0.0026,0.11,0.0026,906,41,0,0,190,Islamabad,98,24,82.6695901,0.0259,97,97.5,94.4033604,9.07,62.775,0,0.488491049,191,0.511508951,200,0.037,1829180,1,0,ICT,76,97.25,5379,97,391,2013
0.5597,0.63282795,0.4403,0.177323665,0.189848385,0.2305,0.1298,0.2679,0.2261,1967,41,49.90571967,70.27027027,960,Abbottabad,60.02514142,24,74.61918625,0.0259,28.59836581,90,94.02674499,9.07,46.05,0.1458,0.830777656,1517,0.169222344,309,0.037,880666,269,288,KP,68.4,54.56945317,5379,64.0477687,1826,2013
0.7276,0.634894992,0.2724,0.085621971,0.279483037,0.5996,0.0541,0.1725,0.109,1967,41,92.02401372,51.37221269,786,Bannu,94.08233276,24,59.55404525,0.0259,93.567753,70,77.24118098,9.07,44.175,0.0648,0.826987308,1238,0.173012692,259,0.037,880666,106,346,KP,46.8,84.71698113,5379,92.53859348,1497,2013
0.7698,0.479395604,0.2302,0.309065934,0.211538462,0.0991,0.153,0.2191,0.2362,1301,41,26.83982684,11.68831169,349,Batagram,23.80952381,24,54.39568802,0.0259,8.225108225,81.66666667,73.01608541,9.07,33.7,0.2925,0.891064871,728,0.108935129,89,0.037,307278,225,154,KP,29.2,22.65512266,5379,42.71284271,817,2013
