Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Pakistan,Colombia,2021,Exports & Imports,167,31,6.05,0.77,51219.77,52266.48,1046.71,0,0.18,11.29,10.04,64,79.69,20.31,0,0,35,0,0,863.63,173.38,11.29,10.04,64,79.69,20.31,0,0,35,0,0,863.63,173.38,
Pakistan,Comoros,2021,Exports & Imports,17,1,0.62,0.02,6575.18,6583.18,7.99,0,0.02,11,11,3,100,0,0,0,11,11,0,7.99,0,11,11,3,100,0,0,0,11,11,0,7.99,0,
Pakistan,Cape Verde,2021,Exports & Imports,4,1,0.14,0.02,119.18,167.92,48.74,0,0,20,20,1,100,0,0,0,20,20,0,48.74,0,20,20,1,100,0,0,0,20,20,0,48.74,0,
Pakistan,Costa Rica,2021,Exports & Imports,49,25,1.77,0.62,1592.89,4290.85,2697.96,0,0.01,5.74,4.88,72,68.06,31.94,0,0,35,0,0,1575.07,1122.37,5.74,4.88,72,68.06,31.94,0,0,35,0,0,1575.07,1122.37,
Pakistan,Cuba,2021,Exports & Imports,2,6,0.07,0.15,10.4,33.43,23.04,0,0,9.72,7.82,11,54.55,45.45,0,0,35,0,0,14.16,0.81,9.72,7.82,11,54.55,45.45,0,0,35,0,0,14.16,0.81,
Pakistan,Curaao,2021,Exports & Imports,,13,,0.32,,,343.34,0,,8.3,7.67,37,67.57,32.43,0,0,35,0,0,308.19,35.01,8.3,7.67,37,67.57,32.43,0,0,35,0,0,308.19,35.01,
Pakistan,Christmas Island,2021,Exports & Imports,,7,,0.17,,,431.81,0,,13.06,15.98,18,94.44,5.56,0,0,35,0,0,431.11,0.69,13.06,15.98,18,94.44,5.56,0,0,35,0,0,431.11,0.69,
Pakistan,Cayman Islands,2021,Exports & Imports,9,1,0.33,0.02,79.03,79.82,0.79,0,0,3,3,1,100,0,0,0,3,3,0,0.79,0,3,3,1,100,0,0,0,3,3,0,0.79,0,
Pakistan,Cyprus,2021,Exports & Imports,103,37,3.73,0.92,1966.69,6111.12,4144.43,0.01,0.02,11.57,8.41,92,75,25,0,0,35,0,0,3816.1,267,11.57,8.41,92,75,25,0,0,35,0,0,3816.1,267,
Pakistan,Czech Republic,2021,Exports & Imports,225,491,8.15,12.24,10854.89,55179.27,44324.39,0.06,0.19,12.02,6.04,1063,80.71,19.29,0,0,35,0,0,23768.54,18212.09,12.02,6.04,1063,80.71,19.29,0,0,35,0,0,23768.54,18212.09,
